"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-05-31 06:00:00","1.30327","0.99847","0.63995","385.78126","220.64849"
"2024-05-31 07:00:00","1.9701","0.99777","0.51495","260.78126","219.1165"
"2024-05-31 08:00:00","0","1","0.01547","10.78125","219.46884"
"2024-05-31 09:00:00","7.48149","0.99158","1.2647","760.78126","219.94305"
"2024-05-31 10:00:00","0.0443","0.99736","0.01547","10.78125","219.96637"
"2024-05-31 11:00:00","58.36695","0.96525","10.00851","5760.78137","219.50476"
"2024-05-31 12:00:00","0","1","0.01547","10.78125","220.34377"
"2024-05-31 13:00:00","0","1","0.01547","10.78125","219.31525"
"2024-05-31 14:00:00","5.64502","0.99184","1.0147","635.78125","219.55494"
"2024-05-31 15:00:00","0","1","0.01547","10.78125","220.13306"
"2024-05-31 16:00:00","3.85607","0.99735","0.7647","510.78125","221.41734"
"2024-05-31 17:00:00","17.66754","0.98334","2.63789","1760.78127","222.24762"
"2024-05-31 18:00:00","5.31099","0.99829","0.88944","760.78127","221.19246"
"2024-05-31 19:00:00","5.52255","0.996","1.01444","760.78127","222.23107"
"2024-05-31 20:00:00","11.69376","0.98195","1.88841","1385.78128","222.84811"
"2024-05-31 21:00:00","11.66011","0.98731","2.38815","1885.7813","223.38233"
"2024-05-31 22:00:00","18.85152","0.97711","2.26341","1760.78128","222.09457"
"2024-05-31 23:00:00","13.31979","0.98453","2.13828","1510.69144","221.69862"
"2024-06-01 00:00:00","8.43881","0.98663","1.88892","1385.78126","222.3752"
"2024-06-01 01:00:00","14.77461","0.98145","2.13841","1510.78128","222.00108"
"2024-06-01 02:00:00","23.82024","0.96854","4.2616","3260.78131","221.82639"
"2024-06-01 03:00:00","12.66098","0.99222","2.38841","1635.78127","221.93938"
"2024-06-01 04:00:00","16.97834","0.97955","2.26315","1510.60159","222.04709"
"2024-06-01 05:00:00","35.65452","0.97049","5.51031","4010.78133","221.77041"
"2024-06-01 06:00:00","29.5364","0.9665","3.6366","2385.78128","222.03925"
"2024-06-01 07:00:00","35.35021","0.94968","6.01031","4010.78132","222.07527"
"2024-06-01 08:00:00","20.50737","0.98331","3.13789","2135.78129","223.1698"
"2024-06-01 09:00:00","24.24396","0.97497","4.51109","3135.7813","222.82381"
"2024-06-01 10:00:00","31.97935","0.97152","4.13634","2885.78132","222.12698"
"2024-06-01 11:00:00","22.33371","0.9823","4.01186","2635.7813","221.49764"
"2024-06-01 12:00:00","6.57706","0.99426","1.13944","635.78127","222.68255"
"2024-06-01 13:00:00","12.9422","0.9808","2.38892","1885.78129","223.19742"
"2024-06-01 14:00:00","12.962","0.98569","2.76263","2010.78128","223.09819"
"2024-06-01 15:00:00","12.48973","0.98428","2.26341","1635.78127","222.86349"
"2024-06-01 16:00:00","18.41512","0.97777","2.76289","1885.78128","222.16898"
"2024-06-01 17:00:00","9.14881","0.98796","1.88866","1385.78124","221.99542"
"2024-06-01 18:00:00","26.0771","0.96317","4.38609","3510.78131","222.81566"
"2024-06-01 19:00:00","23.28676","0.96758","3.88712","2885.78131","223.05093"
"2024-06-01 20:00:00","18.83352","0.97784","3.26212","2260.7813","223.13329"
"2024-06-01 21:00:00","8.81088","0.988","1.88892","1385.78126","222.52213"
"2024-06-01 22:00:00","7.00419","0.989","1.51392","1135.78127","221.73132"
"2024-06-01 23:00:00","12.8625","0.98601","2.51315","1885.78129","222.99674"
"2024-06-02 00:00:00","8.01132","0.98974","1.51392","1010.78121","223.57615"
"2024-06-02 01:00:00","11.6067","0.98947","2.13841","1510.78127","222.99691"
"2024-06-02 02:00:00","26.96927","0.96853","4.38634","3135.7813","223.45743"
"2024-06-02 03:00:00","12.60657","0.98226","3.13738","2510.78131","223.40973"
"2024-06-02 04:00:00","14.53942","0.98091","2.63815","1760.78127","223.28396"
"2024-06-02 05:00:00","26.27606","0.96511","4.0116","3010.78129","223.58309"
"2024-06-02 06:00:00","15.5127","0.98662","2.88815","2010.78127","222.69891"
"2024-06-02 07:00:00","13.2605","0.98435","2.63763","1760.78126","222.96949"
"2024-06-02 08:00:00","10.69272","0.98709","2.63841","1885.7813","223.46123"
"2024-06-02 09:00:00","8.03043","0.98731","2.01366","1510.78129","222.84376"
"2024-06-02 10:00:00","20.7959","0.98322","3.26212","2135.7813","223.21532"
"2024-06-02 11:00:00","26.7376","0.95948","3.88712","2885.78128","222.09296"
"2024-06-02 12:00:00","13.10481","0.98547","1.51392","1260.78126","221.58649"
"2024-06-02 13:00:00","24.44656","0.96439","3.76186","2635.78132","223.47602"
"2024-06-02 14:00:00","6.2969","0.99076","2.13866","1635.78127","221.49377"
"2024-06-02 15:00:00","15.69551","0.98502","2.76315","1760.78124","221.07469"
"2024-06-02 16:00:00","13.72169","0.97957","2.38815","1885.78126","222.25072"
"2024-06-02 17:00:00","8.7861","0.98522","2.26341","1510.78129","222.27373"
"2024-06-02 18:00:00","30.29219","0.96347","4.51109","3260.78132","221.69747"
"2024-06-02 19:00:00","10.30396","0.98543","2.38892","1760.7813","222.33013"
"2024-06-02 20:00:00","14.45663","0.97746","2.26315","1510.78127","221.70276"
"2024-06-02 21:00:00","15.85634","0.97585","2.63841","2010.78128","221.85707"
"2024-06-02 22:00:00","17.29251","0.98494","3.01238","2010.78125","223.06675"
"2024-06-02 23:00:00","12.69446","0.98399","2.88815","2010.78129","222.77935"
"2024-06-03 00:00:00","25.90483","0.96415","4.38609","3260.78131","223.0069"
"2024-06-03 01:00:00","27.81891","0.96713","4.26186","3010.78131","223.74885"
"2024-06-03 02:00:00","24.39945","0.97217","4.51083","3385.78131","221.88527"
"2024-06-03 03:00:00","17.20101","0.97248","3.38763","2385.78128","221.44691"
"2024-06-03 04:00:00","19.84175","0.97977","3.26212","2385.78128","222.74757"
"2024-06-03 05:00:00","16.90696","0.98058","3.63789","2260.7813","222.69268"
"2024-06-03 06:00:00","7.51458","0.99415","1.38944","1010.78127","220.40475"
"2024-06-03 07:00:00","5.18366","0.99587","0.88944","760.78124","219.20139"
"2024-06-03 08:00:00","11.23796","0.9911","1.51366","1010.78127","218.37773"
"2024-06-03 09:00:00","1.0119","0.997","0.01547","10.78125","219.11498"
"2024-06-03 10:00:00","6.77151","0.99272","0.88944","635.78125","218.1481"
"2024-06-03 11:00:00","30.15067","0.97867","4.51134","2760.78129","220.30314"
"2024-06-03 12:00:00","12.45648","0.9871","2.01366","1385.78129","219.82056"
